Title,Date,Member,StartTime,EndTime,Revenue
A-SOUL夜谈 第七期 那些年，浪费过的钱！,2021/04/17,"乃琳, 向晚, 嘉然, 贝拉",,,
A-SOUL游戏室 第五期 只只大冒险！默契大考验！,2021/04/18,"乃琳, 向晚, 嘉然",2021-04-18 19:51:22,2021-04-18 22:08:19,13185.7
向晚变成了一只鹅？,2021/04/21,向晚,,,
嘉然 各位指导，请教我画画,2021/04/22,嘉然,2021-04-22 21:09:28,2021-04-22 22:17:20,13044.6
贝拉 对不起！我跳错《Quiet》了！,2021/04/22,贝拉,,,
A-SOUL小剧场 十七期 贝拉的舞蹈教室 第三期！,2021/04/23,"向晚, 嘉然, 贝拉",,,
A-SOUL夜谈 第八期 三人夜谈,2021/04/24,"向晚, 嘉然, 贝拉",2021-04-24 19:50:21,2021-04-24 22:06:13,12388.8
A-SOUL游戏室 第六期 嘉然 向晚 一起剪纸吧,2021/04/25,"向晚, 嘉然",,,
向晚 测试直播,2021/04/28,向晚,,,
向晚 你们听五月天吗？来听我弹吉他呀,2021/04/28,向晚,,,
嘉然 毕嘉然来啦,2021/04/29,嘉然,2021-04-29 21:10:04,2021-04-29 22:16:56,13436.2
五一特别企划,2021/05/01,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
贝拉 贝拉的健身环大冒险,2021/05/02,贝拉,,,
乃琳 游戏挑战！输了我就......,2021/05/03,乃琳,2021-05-03 19:49:46,2021-05-03 22:14:16,38897.8
嘉然 脑力大比拼,2021/05/04,嘉然,2021-05-04 19:50:08,2021-05-04 23:11:08,52210.0
A-SOUL小剧场 十八期 默契大挑战！！！,2021/05/07,"乃琳, 向晚, 嘉然, 贝拉",2021-05-07 19:53:43,2021-05-07 22:08:30,24267.1
A-SOUL夜谈 第九期 你做过哪些念念不忘的梦？,2021/05/08,"乃琳, 向晚, 嘉然, 贝拉",2021-05-08 19:49:41,2021-05-08 22:06:42,31999.7
A-SOUL游戏室 第七期 只只大冒险！续集！,2021/05/09,"乃琳, 向晚, 嘉然",,,
嘉然 测试直播,2021/05/11,嘉然,2021-05-11 19:51:52,2021-05-11 20:23:51,16872.6
嘉然 向晚 小的要来啦,2021/05/13,"向晚, 嘉然",2021-05-13 21:01:15,2021-05-13 22:13:47,11543.7
贝拉 乃琳 大的要来啦~,2021/05/13,"乃琳, 贝拉",,,
A-SOUL小剧场 十九期 谁是运气王？,2021/05/14,"乃琳, 向晚, 嘉然, 贝拉",2021-05-14 19:51:35,2021-05-14 22:11:24,17493.6
A-SOUL夜谈 第十期 那些让你意想不到的事,2021/05/15,"乃琳, 向晚, 嘉然, 贝拉",2021-05-15 19:50:09,2021-05-15 22:10:07,10035.7
A-SOUL游戏室 第八期 贝拉 乃琳 一起来玩《双人成行》吧！,2021/05/16,"乃琳, 贝拉",,,
嘉然  然然的评论区！有！什！么~,2021/05/19,嘉然,2021-05-19 21:30:19,2021-05-19 22:38:58,69926.8
向晚 【520＝我爱你？】进来我给你一....,2021/05/19,向晚,,,
乃琳 你的月亮我的心！,2021/05/20,乃琳,2021-05-20 21:01:20,2021-05-20 22:08:54,60871.8
贝拉 来学英文歌吧,2021/05/20,贝拉,,,
A-SOUL小剧场 二十期 高情商技巧大放送,2021/05/21,"乃琳, 向晚, 贝拉",,,
A-SOUL夜谈 十一期 生活中的那些小确幸,2021/05/22,"乃琳, 向晚, 贝拉",2021-05-22 19:51:10,2021-05-22 22:04:05,13792.3
乃琳 Ori的寻家之旅～,2021/05/26,乃琳,2021-05-26 21:00:15,2021-05-26 22:08:23,7712.4
向晚 直播练琴就会下雨啦下雨啦！,2021/05/26,向晚,,,
请查收XX小嘉然,2021/05/27,嘉然,,,
贝拉 目标是！成为情话大师！,2021/05/27,贝拉,,,
A-SOUL小剧场 二十一期 高考应援歌舞会！,2021/05/28,"乃琳, 向晚, 嘉然, 贝拉",2021-05-28 19:51:36,2021-05-28 19:51:36,52827.8
A-SOUL夜谈 十二期 命运之夜,2021/05/29,"乃琳, 向晚, 嘉然, 贝拉",,,
向晚 乃琳 果丹皮再续《小小梦魇》,2021/05/30,"乃琳, 向晚",,,
珈乐 有空吗？有空乐,2021/06/02,珈乐,,,
向晚 快进来收下你们的六一礼物~,2021/06/02,向晚,,,
乃琳 嗨~我来给你补儿童节啦,2021/06/02,乃琳,2021-06-02 21:00:11,2021-06-02 22:11:19,101081.7
贝拉 关于“晃悠悠”的那些事,2021/06/03,贝拉,,,
嘉然 捏脸杂谈回,2021/06/03,嘉然,2021-06-03 21:00:52,2021-06-03 22:09:24,72117.3
A-SOUL小剧场 二十二期 卡拉OK歌回！,2021/06/04,"乃琳, 向晚, 嘉然, 贝拉",2021-06-04 19:50:20,2021-06-04 23:10:38,48484.7
A-SOUL夜谈 十三期 天呐噜，真的是YYDS！,2021/06/05,"乃琳, 向晚, 嘉然, 贝拉",2021-06-05 19:50:57,2021-06-05 22:12:38,29974.2
A-SOUL游戏室 第十期 一起来玩《超级鸡马》吧,2021/06/06,"向晚, 贝拉",,,
