Title,Date,Member
A-SOUL小剧场 二十七期 花椒杯文艺节,21/08/27,"乃琳, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十期 A-SOUL的礼物repo会~,21/08/28,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
珈乐 你哄！甜心！,21/09/01,珈乐
向晚 是真的吗？乃琳跟我说...,21/09/01,向晚
嘉然 房子里面……有什么？,21/09/02,嘉然
贝拉 贝极星开学摸底考,21/09/02,贝拉
A-SOUL小剧场 二十八期 社团文化节,21/09/03,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十一期 新学期生存指南,21/09/04,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 十六期 嘿呜！吼吼吼吼吼吼吼吼~~~~~,21/09/05,"乃琳, 向晚, 嘉然, 贝拉"
向晚 嘉然 乃琳 测试直播,21/09/05,"乃琳, 向晚, 嘉然"
乃琳 要不我也看点刺激的...？,21/09/08,乃琳
珈乐 珈乐首播挑战,21/09/08,珈乐
向晚 建议改为...差不多得了！！,21/09/08,向晚
贝拉 论酷盖的自我修养,21/09/09,贝拉
嘉然 嘉然今天吃什么吖,21/09/09,嘉然
A-SOUL小剧场 二十九期 A-SOUL的开学测验,21/09/10,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十二期 枝江怪谈,21/09/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
乃琳 所以在奶淇琳眼里我适合唱的歌是？,21/09/15,乃琳
珈乐 金色的麦狼,21/09/15,珈乐
向晚 水母之歌最终形态！！,21/09/15,向晚
嘉然 今~天~我~三~岁~拉,21/09/16,嘉然
贝拉 海边的体育选修课 ,21/09/16,贝拉
A-SOUL游戏室 十七期 双人成行 第二回！,21/09/17,"乃琳, 贝拉"
嘉然 贝拉 珈乐 第二届舞斗会,21/09/19,"嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十三期 月圆之夜奇谈,21/09/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL小剧场 三十期 一起快乐的过中秋吧！！！,21/09/21,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL小剧场 三十一期 加油！一个魂！,21/09/24,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十四期 一个魂！机会来啦！,21/09/25,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 十八期 快拉我一把吖！,21/09/26,"向晚, 嘉然, 珈乐, 贝拉"
向晚 收获的季节！！弹点棉花吧！！,21/09/29,向晚
贝拉 贝拉带你环游世界~,21/09/30,贝拉
A-SOUL游戏室 十九期 一起来手工世界探险吧！,21/10/04,"向晚, 嘉然, 贝拉"
A-SOUL小剧场 三十二期 A-SOUL出行计划,21/10/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十五期 假期的那些事,21/10/06,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 二十期 打游戏也要动！起！来！,21/10/07,"乃琳, 向晚, 嘉然, 贝拉"
